s,M,max_position,max_velocity,max_acceleration,max_jerk,max_snap,nubs_energy,minco_energy,energy_abs_error,energy_rel_error
3,4,4.0412728104402654e-15,5.6137667270734731e-15,1.9262929379856362e-14,1.7005079888870451e-13,,165.48577818652674,165.48577818652535,1.3926637620897964e-12,8.4156099536242924e-15
3,6,4.0275243467429286e-15,4.5897006750205012e-15,2.7547852744317721e-14,1.7015977981071796e-13,,139.46431244982489,139.46431244982404,8.5265128291212022e-13,6.1137596273518273e-15
3,8,3.904766597855097e-15,6.3214504055716419e-15,2.5928877848349073e-14,1.3365240864954359e-13,,107.0712203378133,107.07122033781241,8.9528384705772623e-13,8.3615732055082174e-15
3,12,4.165926057296536e-15,7.5893230186767563e-15,2.3084097155331709e-14,6.1355066944097354e-14,,92.266826567873863,92.266826567873437,4.2632564145606011e-13,4.6205733665549224e-15
3,16,8.3318521145930719e-15,7.8982049397746267e-15,2.4453150434198187e-14,8.4171015140545311e-14,,115.86732169742123,115.86732169741991,1.3216094885137863e-12,1.1406231447768076e-14
4,4,1.691187103632218e-14,7.9606629588746226e-14,1.86163215088768e-13,4.0053203258836346e-13,1.994892229560541e-12,6275.4474814855657,6275.4474814854411,1.2460077414289117e-10,1.9855281158913443e-14
4,6,5.7566642955551632e-14,1.1292824179067464e-13,1.4629529742481508e-13,3.7567033689149657e-13,3.7813693192435912e-12,4885.5232028506052,4885.5232028506662,6.0936145018786192e-11,1.247279820168092e-14
4,8,4.9785673543260048e-14,8.9677401474952335e-14,1.5110143777471492e-13,2.814608938115924e-13,2.7010345425180432e-12,3772.684372761822,3772.6843727616215,2.0054358174093068e-10,5.3156734549230589e-14
4,12,4.1468427649481683e-14,8.0865172924863452e-14,1.5867181905121452e-13,2.6563811468239926e-13,2.4927799770004844e-12,3428.8145238277157,3428.8145238275606,1.5506884665228426e-10,4.5225207013873424e-14
4,16,1.2202356160203896e-13,2.0301972452847526e-13,2.0681556815329149e-13,4.5557233094210997e-13,3.554787858105313e-12,3838.1829842114294,3838.182984211302,1.2732925824820995e-10,3.3174358484727186e-14
